query,url,grade
azure,https://docs.microsoft.com/en-us/azure/security-center/security-center-intro,4
azure,https://docs.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,3
azure,https://docs.microsoft.com/en-us/learn/paths/azure-fundamentals/,2
azure,https://docs.microsoft.com/en-us/azure/azure-functions/functions-overview,1
if,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/preprocessor-directives/preprocessor-if,9
if,https://docs.microsoft.com/en-us/dax/if-function-dax,8
if,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/functions/function-if,7
if,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_if,6
if,https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/what-if-tool,5
if,https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/if,4
if,https://docs.microsoft.com/en-us/azure/azure-resource-manager/templates/template-functions-logical,3
if,https://docs.microsoft.com/en-us/sql/t-sql/language-elements/if-else-transact-sql,2
if,https://docs.microsoft.com/en-us/dotnet/visual-basic/language-reference/error-messages/first-operand-in-a-binary-if-expression-must-be-nullable-or-a-reference-type,1
Azure,https://docs.microsoft.com/en-us/azure/,10
Azure,https://docs.microsoft.com/en-us/cli/azure/,9
Azure,https://docs.microsoft.com/en-us/azure/azure-resource-manager/management/overview,8
Azure,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-whatis,7
Azure,https://docs.microsoft.com/en-us/azure/azure-monitor/overview,6
Azure,https://docs.microsoft.com/en-us/azure/storage/,5
Azure,https://docs.microsoft.com/en-us/azure/security-center/security-center-intro,4
Azure,https://docs.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,3
Azure,https://docs.microsoft.com/en-us/learn/paths/azure-fundamentals/,2
Azure,https://docs.microsoft.com/en-us/azure/azure-functions/functions-overview,1
xamarin,https://docs.microsoft.com/en-us/xamarin/,10
xamarin,https://docs.microsoft.com/en-us/xamarin/get-started/what-is-xamarin,9
xamarin,https://docs.microsoft.com/en-us/xamarin/xamarin-forms/,8
xamarin,https://docs.microsoft.com/en-us/xamarin/cross-platform/get-started/,7
xamarin,https://docs.microsoft.com/en-us/xamarin/ios/,6
xamarin,https://docs.microsoft.com/en-us/xamarin/ios/deploy-test/testflight,5
xamarin,https://docs.microsoft.com/en-us/xamarin/tools/live-player/,4
xamarin,https://docs.microsoft.com/en-us/xamarin/cross-platform/app-fundamentals/code-sharing,3
xamarin,https://docs.microsoft.com/en-us/xamarin/android/,2
xamarin,https://docs.microsoft.com/en-us/xamarin/cross-platform/app-fundamentals/building-cross-platform-applications/understanding-the-xamarin-mobile-platform,1
change password,https://docs.microsoft.com/en-us/azure/active-directory/user-help/active-directory-passwords-update-your-own-password,10
change password,https://docs.microsoft.com/en-us/openspecs/windows_protocols/ms-samr/41d7ca60-909f-4d0d-b85a-c9a35b5f2aaa,9
change password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-sspr-writeback,8
change password,https://docs.microsoft.com/en-us/azure/active-directory-b2c/custom-policy-password-change,7
change password,https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/interactive-logon-prompt-user-to-change-password-before-expiration,6
change password,https://docs.microsoft.com/en-us/azure/active-directory/user-help/my-account-change-password-page,5
change password,https://docs.microsoft.com/en-us/azure/active-directory/hybrid/how-to-connect-password-hash-synchronization,4
change password,https://docs.microsoft.com/en-us/advanced-threat-analytics/modifying-ata-config-dcpassword,3
change password,https://docs.microsoft.com/en-us/windows/security/identity-protection/hello-for-business/hello-and-password-changes,2
change password,https://docs.microsoft.com/en-us/sysinternals/downloads/pspasswd,1
Change password,https://docs.microsoft.com/en-us/azure/active-directory/user-help/active-directory-passwords-update-your-own-password,10
Change password,https://docs.microsoft.com/en-us/openspecs/windows_protocols/ms-samr/41d7ca60-909f-4d0d-b85a-c9a35b5f2aaa,9
Change password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-sspr-writeback,8
Change password,https://docs.microsoft.com/en-us/azure/active-directory-b2c/custom-policy-password-change,7
Change password,https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/interactive-logon-prompt-user-to-change-password-before-expiration,6
Change password,https://docs.microsoft.com/en-us/advanced-threat-analytics/modifying-ata-config-dcpassword,5
Change password,https://docs.microsoft.com/en-us/azure/active-directory/hybrid/how-to-connect-password-hash-synchronization,4
Change password,https://docs.microsoft.com/en-us/windows/security/identity-protection/hello-for-business/hello-and-password-changes,3
Change password,https://docs.microsoft.com/en-us/sysinternals/downloads/pspasswd,2
Change password,https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/minimum-password-age,1
calendar,https://docs.microsoft.com/en-us/dax/calendar-function-dax,10
calendar,https://docs.microsoft.com/en-us/graph/api/resources/calendar,9
calendar,https://docs.microsoft.com/en-us/uwp/api/windows.globalization.calendar,8
calendar,https://docs.microsoft.com/en-us/previous-versions/office/office-365-api/api/version-2.0/calendar-rest-operations,7
calendar,https://docs.microsoft.com/en-us/power-platform/admin/system-settings-dialog-box-calendar-tab,6
calendar,https://docs.microsoft.com/en-us/graph/api/resources/event,5
calendar,https://docs.microsoft.com/en-us/graph/api/calendar-getschedule,4
calendar,https://docs.microsoft.com/en-us/graph/outlook-calendar-concept-overview,3
calendar,https://docs.microsoft.com/en-us/biztalk/core/office365-calendar-adapter,2
json,https://docs.microsoft.com/en-us/sql/relational-databases/json/json-data-sql-server,8
json,https://docs.microsoft.com/en-us/dotnet/api/system.text.json,7
json,https://docs.microsoft.com/en-us/dotnet/core/tools/global-json,6
json,https://docs.microsoft.com/en-us/dotnet/core/tools/project-json-to-csproj,5
json,https://docs.microsoft.com/en-us/azure/azure-functions/functions-bindings-expressions-patterns,4
json,https://docs.microsoft.com/en-us/sql/relational-databases/json/format-query-results-as-json-with-for-json-sql-server,3
json,https://docs.microsoft.com/en-us/dotnet/standard/serialization/system-text-json-migrate-from-newtonsoft-how-to,2
json,https://docs.microsoft.com/en-us/sql/t-sql/functions/json-functions-transact-sql,1
email,https://docs.microsoft.com/en-us/intune/configuration/email-settings-configure,10
email,https://docs.microsoft.com/en-us/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/fix-error-code-550-5-1-10-in-exchange-online,9
email,https://docs.microsoft.com/en-us/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/fix-error-code-550-4-4-7-in-exchange-online,8
email,https://docs.microsoft.com/en-us/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/fix-error-code-550-5-1-1-through-5-1-20-in-exchange-online,7
email,https://docs.microsoft.com/en-us/workplace-analytics/myanalytics/use/email-digest-2,6
email,https://docs.microsoft.com/en-us/power-platform/admin/system-settings-dialog-box-email-tab,5
email,https://docs.microsoft.com/en-us/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/fix-error-code-550-5-7-1-in-exchange-online,4
email,https://docs.microsoft.com/en-us/microsoft-365/security/office-365-security/removing-user-from-restricted-users-portal-after-spam,3
email,https://docs.microsoft.com/en-us/microsoft-365/security/office-365-security/use-dmarc-to-validate-email,2
email,https://docs.microsoft.com/en-us/exchange/mail-flow-best-practices/how-to-set-up-a-multifunction-device-or-application-to-send-email-using-office-3,1
filter,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/functions/function-filter-lookup,8
filter,https://docs.microsoft.com/en-us/dax/filter-function-dax,7
filter,https://docs.microsoft.com/en-us/aspnet/core/mvc/controllers/filters,6
filter,https://docs.microsoft.com/en-us/dax/filter-functions-dax,5
filter,https://docs.microsoft.com/en-us/azure/data-factory/data-flow-filter,4
filter,https://docs.microsoft.com/en-us/graph/query-parameters,3
filter,https://docs.microsoft.com/en-us/dotnet/core/testing/selective-unit-tests,1
bitlocker,https://docs.microsoft.com/en-us/windows/security/information-protection/bitlocker/bitlocker-overview,10
bitlocker,https://docs.microsoft.com/en-us/windows/security/information-protection/bitlocker/bitlocker-device-encryption-overview-windows-10,9
bitlocker,https://docs.microsoft.com/en-us/windows/security/information-protection/bitlocker/bitlocker-countermeasures,7
bitlocker,https://docs.microsoft.com/en-us/windows/security/information-protection/bitlocker/bitlocker-overview-and-requirements-faq,6
bitlocker,https://docs.microsoft.com/en-us/windows/security/information-protection/bitlocker/bitlocker-basic-deployment,5
bitlocker,https://docs.microsoft.com/en-us/powershell/module/bitlocker/,4
bitlocker,https://docs.microsoft.com/en-us/windows/client-management/mdm/bitlocker-csp,3
bitlocker,https://docs.microsoft.com/en-us/windows/security/information-protection/bitlocker/bitlocker-group-policy-settings,2
bitlocker,https://docs.microsoft.com/en-us/windows/security/information-protection/bitlocker/bitlocker-recovery-guide-plan,1
list,https://docs.microsoft.com/en-us/dotnet/api/system.collections.generic.list-1,10
list,https://docs.microsoft.com/en-us/dotnet/api/system.collections.generic.list-1.-ctor,9
list,https://docs.microsoft.com/en-us/dotnet/fsharp/language-reference/lists,8
list,https://docs.microsoft.com/en-us/graph/api/resources/list,7
list,https://docs.microsoft.com/en-us/azure/azure-resource-manager/templates/template-functions-resource,6
list,https://docs.microsoft.com/en-us/security/trusted-root/participants-list,5
list,https://docs.microsoft.com/en-us/dynamics365/business-central/dev-itpro/developer/methods-auto/list/list-data-type,4
list,https://docs.microsoft.com/en-us/graph/api/user-list,3
list,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/intro-to-csharp/list-collection,2
visio,https://docs.microsoft.com/en-us/power-automate/visio-flows,10
visio,https://docs.microsoft.com/en-us/sharepoint/dev/general-development/workflow-development-in-sharepoint-designer-and-visio,9
visio,https://docs.microsoft.com/en-us/office/vba/api/visio.document.mode,8
visio,https://docs.microsoft.com/en-us/office/vba/api/visio.shape.sectionexists,7
visio,https://docs.microsoft.com/en-us/office/client-developer/visio/visio-home,6
visio,https://docs.microsoft.com/en-us/office/vba/api/visio.application.eventsenabled,5
visio,https://docs.microsoft.com/en-us/office/dev/add-ins/reference/overview/visio-javascript-reference-overview,4
visio,https://docs.microsoft.com/en-us/office/vba/api/visio.documents.addex,3
visio,https://docs.microsoft.com/en-us/sharepoint/administration/visio-services-overview,2
visio,https://docs.microsoft.com/en-us/office/vba/api/visio.datarecordset.getdatarowids,1
switch,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/keywords/switch,9
switch,https://docs.microsoft.com/en-us/dax/switch-function-dax,8
switch,https://docs.microsoft.com/en-us/dotnet/api/xamarin.forms.switch,7
switch,https://docs.microsoft.com/en-us/dotnet/csharp/whats-new/csharp-8,6
switch,https://docs.microsoft.com/en-us/xamarin/android/user-interface/controls/switch,5
switch,https://docs.microsoft.com/en-us/dotnet/csharp/pattern-matching,4
switch,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/functions/function-if,3
switch,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_switch,2
switch,https://docs.microsoft.com/en-us/azure/devops/organizations/accounts/change-azure-ad-connection,1
c# tutorial,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/,10
c# tutorial,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/intro-to-csharp/,9
c# tutorial,https://docs.microsoft.com/en-us/dotnet/csharp/programming-guide/,8
c# tutorial,https://docs.microsoft.com/en-us/aspnet/core/tutorials/first-web-api,7
c# tutorial,https://docs.microsoft.com/en-us/aspnet/core/tutorials/razor-pages/razor-pages-start,6
c# tutorial,https://docs.microsoft.com/en-us/visualstudio/get-started/csharp/,5
c# tutorial,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/intro-to-csharp/hello-world,4
c# tutorial,https://docs.microsoft.com/en-us/aspnet/web-api/overview/getting-started-with-aspnet-web-api/tutorial-your-first-web-api,3
c# tutorial,https://docs.microsoft.com/en-us/visualstudio/get-started/csharp/tutorial-console,2
c# tutorial,https://docs.microsoft.com/en-us/dotnet/csharp/,1
security,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/concept-fundamentals-security-defaults,10
security,https://docs.microsoft.com/en-us/aspnet/core/security/,9
security,https://docs.microsoft.com/en-us/azure/security-center/security-center-intro,8
security,https://docs.microsoft.com/en-us/partner-center/partner-security-requirements,7
security,https://docs.microsoft.com/en-us/azure/security-center/,6
security,https://docs.microsoft.com/en-us/azure/active-directory/user-help/security-info-setup-signin,5
security,https://docs.microsoft.com/en-us/windows/security/threat-protection/intelligence/safety-scanner-download,3
security,https://docs.microsoft.com/en-us/microsoft-365/security/mtp/overview-security-center,2
security,https://docs.microsoft.com/en-us/learn/modules/intro-to-security-in-azure/,1
api,https://docs.microsoft.com/en-us/bingwebmaster/,9
api,https://docs.microsoft.com/en-us/dotnet/api/,6
api,https://docs.microsoft.com/en-us/,4
api,https://docs.microsoft.com/en-us/graph/api/overview,2
api,https://docs.microsoft.com/en-us/aspnet/core/tutorials/first-web-api,1
print,https://docs.microsoft.com/en-us/sql/t-sql/language-elements/print-transact-sql,10
print,https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/print,9
print,https://docs.microsoft.com/en-us/azure/devops/project/wiki/filter-print-wiki,8
print,https://docs.microsoft.com/en-us/microsoft-edge/devtools-guide-chromium/css/print-preview,7
print,https://docs.microsoft.com/en-us/office/troubleshoot/word/print-failures-in-word,5
print,https://docs.microsoft.com/en-us/windows-server/administration/hybrid-cloud-print/hybrid-cloud-print-overview,4
print,https://docs.microsoft.com/en-us/windows/win32/printdocs/print-ticket-api-functions,3
print,https://docs.microsoft.com/en-us/windows/win32/printdocs/printing-and-print-spooler-functions,1
outlook,https://docs.microsoft.com/en-us/outlook/add-ins/,10
outlook,https://docs.microsoft.com/en-us/outlook/actionable-messages/,9
outlook,https://docs.microsoft.com/en-us/office/vba/api/outlook.application,8
outlook,https://docs.microsoft.com/en-us/outlook/amphtml/,7
outlook,https://docs.microsoft.com/en-us/workplace-analytics/myanalytics/use/add-in,6
outlook,https://docs.microsoft.com/en-us/exchange/clients-and-mobile-in-exchange-online/outlook-for-ios-and-android/outlook-for-ios-and-android-faq,5
outlook,https://docs.microsoft.com/en-us/power-platform/admin/system-settings-dialog-box-outlook-tab,4
outlook,https://docs.microsoft.com/en-us/outlook/amphtml/register-outlook,3
outlook,https://docs.microsoft.com/en-us/officeupdates/outlook-updates-msi,2
outlook,https://docs.microsoft.com/en-us/outlook/rest/get-started,1
date,https://docs.microsoft.com/en-us/sql/t-sql/data-types/date-transact-sql,9
date,https://docs.microsoft.com/en-us/dax/date-function-dax,4
date,https://docs.microsoft.com/en-us/powerquery-m/date-from,2
windows 10,https://docs.microsoft.com/en-us/windows/release-information/windows-message-center,10
windows 10,https://docs.microsoft.com/en-us/windows/release-information/,9
windows 10,https://docs.microsoft.com/en-us/windows/wsl/install-win10,8
windows 10,https://docs.microsoft.com/en-us/windows/release-information/status-windows-10-1903,7
windows 10,https://docs.microsoft.com/en-us/virtualization/windowscontainers/quick-start/set-up-environment,6
windows 10,https://docs.microsoft.com/en-us/windows/windows-10/,5
windows 10,https://docs.microsoft.com/en-us/learn/certifications/exams/md-100,4
windows 10,https://docs.microsoft.com/en-us/windows-hardware/get-started/adk-install,3
windows 10,https://docs.microsoft.com/en-us/windows-insider/at-home/whats-new-wip-at-home-1909,2
windows 10,https://docs.microsoft.com/en-us/windows/release-information/status-windows-10-1909,1
convert,https://docs.microsoft.com/en-us/sql/t-sql/functions/cast-and-convert-transact-sql,10
convert,https://docs.microsoft.com/en-us/dotnet/api/system.convert,9
convert,https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/convert,8
convert,https://docs.microsoft.com/en-us/configmgr/apps/pcm/package-conversion-manager,7
convert,https://docs.microsoft.com/en-us/dax/convert-function-dax,5
convert,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/convert-unmanaged-to-managed-disks,4
convert,https://docs.microsoft.com/en-us/powershell/module/hyper-v/convert-vhd,3
convert,https://docs.microsoft.com/en-us/dotnet/api/system.text.encoder.convert,2
convert,https://docs.microsoft.com/en-us/dotnet/api/system.convert.toint32,1
C#,https://docs.microsoft.com/en-us/dotnet/csharp/,10
C#,https://docs.microsoft.com/en-us/dotnet/csharp/programming-guide/,9
C#,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/,8
C#,https://docs.microsoft.com/en-us/dotnet/csharp/getting-started/introduction-to-the-csharp-language-and-the-net-framework,7
C#,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/,6
C#,https://docs.microsoft.com/en-us/dotnet/csharp/tutorials/intro-to-csharp/,5
C#,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/language-specification/introduction,4
C#,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/operators/null-coalescing-operator,3
C#,https://docs.microsoft.com/en-us/dotnet/csharp/async,2
C#,https://docs.microsoft.com/en-us/dotnet/csharp/pattern-matching,1
intune,https://docs.microsoft.com/en-us/intune/fundamentals/what-is-intune,10
intune,https://docs.microsoft.com/en-us/intune/,9
intune,https://docs.microsoft.com/en-us/intune/fundamentals/setup-steps,8
intune,https://docs.microsoft.com/en-us/intune/apps/apps-add-office365,7
intune,https://docs.microsoft.com/en-us/intune/enrollment/android-fully-managed-enroll,6
intune,https://docs.microsoft.com/en-us/intune/fundamentals/whats-new,5
intune,https://docs.microsoft.com/en-us/intune-user-help/windows-enrollment-company-portal,4
intune,https://docs.microsoft.com/en-us/intune/remote-actions/device-management,3
intune,https://docs.microsoft.com/en-us/intune/enrollment/enrollment-autopilot,2
intune,https://docs.microsoft.com/en-us/intune/fundamentals/planning-guide-onboarding,1
replace,https://docs.microsoft.com/en-us/sql/t-sql/functions/replace-transact-sql,9
replace,https://docs.microsoft.com/en-us/dotnet/api/system.string.replace,8
replace,https://docs.microsoft.com/en-us/dotnet/api/system.text.regularexpressions.regex.replace,7
replace,https://docs.microsoft.com/en-us/office/vba/language/reference/user-interface-help/replace-function,6
replace,https://docs.microsoft.com/en-us/dotnet/api/system.io.fileinfo.replace,5
replace,https://docs.microsoft.com/en-us/dotnet/api/system.text.stringbuilder.replace,4
replace,https://docs.microsoft.com/en-us/powerquery-m/text-replace,3
replace,https://docs.microsoft.com/en-us/stream/portal-replace-video,2
replace,https://docs.microsoft.com/en-us/sql/integration-services/expressions/replace-ssis-expression,1
windows server 2016,https://docs.microsoft.com/en-us/windows-server/get-started/whats-new-in-windows-server-2016,10
windows server 2016,https://docs.microsoft.com/en-us/windows-server/,9
windows server 2016,https://docs.microsoft.com/en-us/windows-server/get-started/server-basics,8
